counter,name,single_or_multiple_episodes,first_ep,last_ep,seasons_array
0,Abraham,single,Old Time Rock and Roll,,
1,Brad Ackles,single,17 Seconds,,
2,Karen Adams,single,In Which Addison Finds the Magic,,
3,Reed Adamson,multiple,Invasion,Sanctuary,['6']
4,Winnie Adkins,single,You Haven't Done Nothin',,
5,Kim Allen,single,Suicide is Painless,,
6,Grandma Anderson,multiple,Dark Was the Night,Suddenly,['8']
7,Holly Anderson,single,All By Myself,,
8,Jessica Anderson,single,Suddenly,,
9,Robert Anderson,multiple,Dark Was the Night,Suddenly,['8']
10,Wallace Anderson,single,Invest in Love,,
11,Harper Avery,multiple,Perfect Little Accident,Go Big or Go Home,"['6', '14']"
12,Samuel Norbert Avery,single,All I Could Do Was Cry,,
13,Alexander Ball,single,Nothing to Fear,,
14,Joyce Basche,multiple,She's Killing Me,Sleeping Monster,['9']
15,Cathy Becker,single,I Saw What I Saw,,
16,Ed Beckert,single,It's a Long Way Back,,
17,Grace Bickham,single,Break on Through,,
18,Andrew Billings,single,Both Sides Now,,
19,Charlie Bilson,single,All You Need is Love,,
20,Dr. Bones,multiple,Time Has Come Today,,
21,Heather Brooks,multiple,"Going, Going, Gone",I Want You With Me,"['9', '10']"
22,Teresa Brotherton,single,Physical Attraction... Chemical Reaction,,
23,Rosemary Bullard,single,Rise Up,,
24,Henry Burton,multiple,Adrift and at Peace,Suddenly,"['7', '8']"
25,Jake Burton,single,Yesterday,,
26,Rich Campion,single,Bad Blood,,
27,Vivian Carlsmith,single,Apron Strings,,
28,Emma Carroll,single,The Lion Sleeps Tonight,,
29,Casey,single,Things We Lost in the Fire,,
30,Jason Castor,single,Do You Know?,,
31,Alison Clark,single,Here's to Future Days,,
32,Alison Clark,single,Sympathy for the Parents,,
33,Gary Clark,multiple,Sympathy for the Parents,Death and All His Friends,['6']
34,Elsie Clatch,single,Till I Hear It From You,,
35,Annie Connors,single,If Tomorrow Never Comes,,
36,Liz Cooper,single,We Are Never Ever Getting Back Together,,
37,Louise Cortez,single,Something's Gotta Give,,
38,Darren Covington,single,The Becoming,,
39,Bonnie Crasnoff,multiple,Into You Like a Train,Some Kind of Miracle,"['2', '3']"
40,Elyse Cruse,single,Can't Fight This Feeling,,
41,Ray Daniels,single,Know When to Fold,,
42,Danny,single,With or Without You,,
43,Daphne,single,My Next Life,,
44,Kevin Davidson,single,"Winning a Battle, Losing the War",,
45,Troy Davis,single,Drifting Back,,
46,Rachel Dawson,multiple,Can't Fight This Feeling,Sleeping Monster,['9']
47,Elena Debray,single,Crime and Punishment,,
48,Kyle Diaz,multiple,I Wear the Face,At Last,['12']
49,Doc,multiple,Owner of a Lonely Heart,Some Kind of Miracle,"['2', '3']"
50,William Dunn,multiple,Wish You Were Here,Stairway to Heaven,['5']
51,"Dennison Duquette, Jr.",multiple,Begin the Begin,Here's to Future Days,"['2', '3', '5']"
52,James Evans,multiple,Puttin' on the Ritz,Take It Back,['10']
53,Elizabeth Fallon,multiple,No Man's Land,Some Kind of Miracle,"['1', '3']"
54,Jesse Fannon,single,Superstition,,
55,Emile Flores,single,Valentine's Day Massacre,,
56,Eugene Foote,single,Blues for Sister Someone,,
57,Beatrice Bradford Forbes,multiple,Blowups,Home Again,[]
58,Jordan Franklin,single,Who's Zoomin' Who?,,
59,Peter Gekofsky,single,Suicide is Painless,,
60,Stan Giamatti,multiple,"Crash Into Me, Part 1","Crash Into Me, Part 2",['4']
61,David Gibbs,multiple,God Laughs,Losing Battles,[]
62,Brett Gibson,single,When I Grow Up,,
63,Peter Gibson,single,When I Grow Up,,
64,Susan Grant,multiple,Blowups,Blind Love,[]
65,Greta,single,Losing My Mind,,
66,Ellis Grey,multiple,A Hard Day's Night,"Who Lives, Who Dies, Who Tells Your Story","['1', '2', '3', '6', '8', '11', '14']"
67,Alexandra Caroline Grey,multiple,GA,Grey's Anatomy,"['3', '4', '5', '6', '7', '8']"
68,Susan Grey,multiple,The Name of the Game,"The Other Side of This Life, Part 2","['2', '3']"
69,Nick Hanscom,multiple,"Crash Into Me, Part 1","Crash Into Me, Part 2",['4']
70,Jen Harmon,multiple,GA,Grey's Anatomy,['5']
71,Randy Helsby,single,Tainted Obligation,,
72,Emily Jensen,single,"Could We Start Again, Please?",,
73,Kirk Jensen,single,Equal and Opposite,,
74,JJ,single,She's Leaving Home,,
75,Jordan,single,What a Difference a Day Makes,,
76,Lillie Jordan,single,Slip Slidin' Away,,
77,Kathleen Kane,single,Everybody's Crying Mercy,,
78,Kara,single,The Hard Part,,
79,Veronica Kays,multiple,Roar,Don't Stop Me Now,['13']
80,Keith,single,True Colors (Grey's Anatomy),,
81,Jordan Kenley,single,Wish You Were Here,,
82,Vincent Kenner,multiple,"Dream a Little Dream of Me, Part 1","Dream a Little Dream of Me, Part 2",['5']
83,Ryan Kerrigan,multiple,If I Hadn't Forgotten...,Who We Are,[]
84,Daniel Kiefer,single,I Choose You,,
85,Jeffrey King,single,"Come on Down to My Boat, Baby",,
