counter,name,diagnosis,actor,single_or_multiple_episodes,first_ep,last_ep,seasons_array
0,Abraham,['Contusions'],Lou Cutell,single,Old Time Rock and Roll,Old Time Rock and Roll,['12']
1,Brad Ackles,"['Lacerations', 'Gunshot wound']",Ken Marino,single,17 Seconds,17 Seconds,['2']
2,Karen Adams,"['Nosebleed', ""Wegener's disease""]",Molly Hagan,single,In Which Addison Finds the Magic,In Which Addison Finds the Magic,[]
3,Reed Adamson,['No Diagnosis'],Nora Zehetner,multiple,Invasion,Sanctuary,['6']
4,Winnie Adkins,"['Hemothorax', 'Internal bleeding']",Ruby Jay,single,You Haven't Done Nothin',You Haven't Done Nothin',['13']
5,Kim Allen,"['Stage IV large-cell lung cancer', 'Pulmonary edema']",Sara Gilbert,single,Suicide is Painless,Suicide is Painless,['6']
6,Grandma Anderson,['Car accident injuries'],Evelyn Reese,multiple,Dark Was the Night,Suddenly,['8']
7,Holly Anderson,"['Basilar skull fracture', 'Hemopericardium', 'Carotid dissection', 'Cerebrovascular accident', 'Brain Death']",Christa B. Allen,single,All By Myself,All By Myself,['5']
8,Jessica Anderson,['Crash injuries'],No actor listed,single,Suddenly,Suddenly,['8']
9,Robert Anderson,"['Crushed pelvis', 'Internal bleeding']",Dan Conroy,multiple,Dark Was the Night,Suddenly,['8']
10,Wallace Anderson,"['Short Gut Syndrome', 'Bowel Obstruction', 'Sepsis']",Khamani Griffin,single,Invest in Love,Invest in Love,['6']
11,Harper Avery,['No Diagnosis'],Chelcie Ross,multiple,Perfect Little Accident,Go Big or Go Home,"['6', '14']"
12,Samuel Norbert Avery,['No Diagnosis'],No actor listed,single,All I Could Do Was Cry,All I Could Do Was Cry,['11']
13,Alexander Ball,['Stage IV-B pancreatic cancer'],Joel Grey,single,Nothing to Fear,Nothing to Fear,[]
14,Joyce Basche,"['MRSA', 'Abscess']",Sarah Lilly,multiple,She's Killing Me,Sleeping Monster,['9']
15,Cathy Becker,"['Burns', 'Second-degree burn', 'Tension pneumothorax', 'Pulmonary edema', 'Acute respiratory distress syndrome', 'Fulminant rhabdomyolysis', 'Multi-system organ failure', 'Disseminated intravascular coagulation']",Erinn Hayes,single,I Saw What I Saw,I Saw What I Saw,['6']
16,Ed Beckert,"[""Alzheimer's disease"", 'Heart condition', 'Myocardial infarction']",Newell Alexander,single,It's a Long Way Back,It's a Long Way Back,['7']
17,Grace Bickham,['End-stage COPD'],Dona Hardy,single,Break on Through,Break on Through,['2']
18,Andrew Billings,"['Cardiac myxoma', 'Brain death']",Don R. Williams,single,Both Sides Now,Both Sides Now,['13']
19,Charlie Bilson,"['Crush injuries', 'Internal bleeding', 'Broken nose']",John Pollono,single,All You Need is Love,All You Need is Love,['8']
20,Dr. Bones,['No Diagnosis'],No actor listed,multiple,Time Has Come Today,,[]
21,Heather Brooks,['No Diagnosis'],Tina Majorino,multiple,"Going, Going, Gone",I Want You With Me,"['9', '10']"
22,Teresa Brotherton,"['Tension pneumothorax', 'Fracture ribs', 'Hemothorax', 'Punctured lung']",Enuka Okuma,single,Physical Attraction... Chemical Reaction,Physical Attraction... Chemical Reaction,['4']
