counter,name,diagnosis,actor,single_or_multiple_episodes,first_episode_number,first_ep,last_ep,seasons_array
0,Abraham,['Contusions'],Lou Cutell,single,4,Old Time Rock and Roll,Old Time Rock and Roll,['12']
1,Brad Ackles,"['Lacerations', 'Gunshot wound']",Ken Marino,single,25,17 Seconds,17 Seconds,['2']
2,Karen Adams,"['Nosebleed', ""Wegener's disease""]",Molly Hagan,single,3,In Which Addison Finds the Magic,In Which Addison Finds the Magic,[]
3,Reed Adamson,['No Diagnosis'],Nora Zehetner,multiple,99,Invasion,Sanctuary,['6']
4,Winnie Adkins,"['Hemothorax', 'Internal bleeding']",Ruby Jay,single,9,You Haven't Done Nothin',You Haven't Done Nothin',['13']
5,Kim Allen,"['Stage IV large-cell lung cancer', 'Pulmonary edema']",Sara Gilbert,single,18,Suicide is Painless,Suicide is Painless,['6']
6,Grandma Anderson,['Car accident injuries'],Evelyn Reese,multiple,99,Dark Was the Night,Suddenly,['8']
7,Holly Anderson,"['Basilar skull fracture', 'Hemopericardium', 'Carotid dissection', 'Cerebrovascular accident', 'Brain Death']",Christa B. Allen,single,10,All By Myself,All By Myself,['5']
8,Jessica Anderson,['Crash injuries'],No actor listed,single,10,Suddenly,Suddenly,['8']
9,Robert Anderson,"['Crushed pelvis', 'Internal bleeding']",Dan Conroy,multiple,99,Dark Was the Night,Suddenly,['8']
10,Wallace Anderson,"['Short Gut Syndrome', 'Bowel Obstruction', 'Sepsis']",Khamani Griffin,single,8,Invest in Love,Invest in Love,['6']
11,Harper Avery,['No Diagnosis'],Chelcie Ross,multiple,99,Perfect Little Accident,Go Big or Go Home,"['6', '14']"
12,Samuel Norbert Avery,['No Diagnosis'],No actor listed,single,11,All I Could Do Was Cry,All I Could Do Was Cry,['11']
13,Alexander Ball,['Stage IV-B pancreatic cancer'],Joel Grey,single,13,Nothing to Fear,Nothing to Fear,[]
14,Joyce Basche,"['MRSA', 'Abscess']",Sarah Lilly,multiple,99,She's Killing Me,Sleeping Monster,['9']
15,Cathy Becker,"['Burns', 'Second-degree burn', 'Tension pneumothorax', 'Pulmonary edema', 'Acute respiratory distress syndrome', 'Fulminant rhabdomyolysis', 'Multi-system organ failure', 'Disseminated intravascular coagulation']",Erinn Hayes,single,6,I Saw What I Saw,I Saw What I Saw,['6']
16,Ed Beckert,"[""Alzheimer's disease"", 'Heart condition', 'Myocardial infarction']",Newell Alexander,single,19,It's a Long Way Back,It's a Long Way Back,['7']
17,Grace Bickham,['End-stage COPD'],Dona Hardy,single,15,Break on Through,Break on Through,['2']
18,Andrew Billings,"['Cardiac myxoma', 'Brain death']",Don R. Williams,single,5,Both Sides Now,Both Sides Now,['13']
19,Charlie Bilson,"['Crush injuries', 'Internal bleeding', 'Broken nose']",John Pollono,single,14,All You Need is Love,All You Need is Love,['8']
20,Dr. Bones,['No Diagnosis'],No actor listed,multiple,99,Time Has Come Today,n/a,[]
21,Heather Brooks,['No Diagnosis'],Tina Majorino,multiple,99,"Going, Going, Gone",I Want You With Me,"['9', '10']"
22,Teresa Brotherton,"['Tension pneumothorax', 'Fracture ribs', 'Hemothorax', 'Punctured lung']",Enuka Okuma,single,7,Physical Attraction... Chemical Reaction,Physical Attraction... Chemical Reaction,['4']
