counter,name,diagnosis,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
0,Abraham,['Contusions'],,,[],,,,,[]
1,Brad Ackles,"['Lacerations', 'Gunshot wound']",,,[],,,,,[]
2,Karen Adams,"['Nosebleed', ""Wegener's disease""]",,,[],,,,,[]
3,Reed Adamson,['No diagnosis available'],,multiple,['S-6-EP-23'],,,Sanctuary,Sanctuary,[]
4,Winnie Adkins,"['Hemothorax', 'Internal bleeding']",,multiple,[],,,Sanctuary,Sanctuary,[]
5,Kim Allen,"['Stage IV large-cell lung cancer', 'Pulmonary edema']",,multiple,[],,,Sanctuary,Sanctuary,[]
6,Grandma Anderson,['Car accident injuries'],,multiple,['S-8-EP-10'],,,Suddenly,Suddenly,[]
7,Holly Anderson,"['Basilar skull fracture', 'Hemopericardium', 'Carotid dissection', 'Cerebrovascular accident', 'Brain Death']",,multiple,[],,,Suddenly,Suddenly,[]
8,Jessica Anderson,['Crash injuries'],,multiple,[],,,Suddenly,Suddenly,[]
9,Robert Anderson,"['Crushed pelvis', 'Internal bleeding']",,multiple,['S-8-EP-10'],,,Suddenly,Suddenly,[]
10,Wallace Anderson,"['Short Gut Syndrome', 'Bowel Obstruction', 'Sepsis']",,multiple,[],,,Suddenly,Suddenly,[]
11,Harper Avery,['No diagnosis available'],,multiple,['S-14-EP-3'],,,Go_Big_or_Go_Home,Go Big or Go Home,[]
12,Samuel Norbert Avery,['No diagnosis available'],,multiple,[],,,Go_Big_or_Go_Home,Go Big or Go Home,[]
13,Alexander Ball,['Stage IV-B pancreatic cancer'],,multiple,[],,,Go_Big_or_Go_Home,Go Big or Go Home,[]
14,Joyce Basche,"['MRSA', 'Abscess']",,multiple,['S-9-EP-21'],,,Sleeping_Monster,Sleeping Monster,[]
15,Cathy Becker,"['Burns', 'Second-degree burn', 'Tension pneumothorax', 'Pulmonary edema', 'Acute respiratory distress syndrome', 'Fulminant rhabdomyolysis', 'Multi-system organ failure', 'Disseminated intravascular coagulation']",,multiple,[],,,Sleeping_Monster,Sleeping Monster,[]
16,Ed Beckert,"[""Alzheimer's disease"", 'Heart condition', 'Myocardial infarction']",,multiple,[],,,Sleeping_Monster,Sleeping Monster,[]
17,Grace Bickham,['End-stage COPD'],,multiple,[],,,Sleeping_Monster,Sleeping Monster,[]
18,Andrew Billings,"['Cardiac myxoma', 'Brain death']",,multiple,[],,,Sleeping_Monster,Sleeping Monster,[]
19,Charlie Bilson,"['Crush injuries', 'Internal bleeding', 'Broken nose']",,multiple,[],,,Sleeping_Monster,Sleeping Monster,[]
20,Dr. Bones,['No diagnosis available'],,multiple,[],,,Sleeping_Monster,Sleeping Monster,[]
21,Heather Brooks,['No diagnosis available'],,multiple,['S-10-EP-2'],,,I_Want_You_With_Me,I Want You With Me,[]
22,Teresa Brotherton,"['Tension pneumothorax', 'Fracture ribs', 'Hemothorax', 'Punctured lung']",,multiple,[],,,I_Want_You_With_Me,I Want You With Me,[]
23,Rosemary Bullard,"['Cancer', 'Brain Tumor']",,multiple,[],,,I_Want_You_With_Me,I Want You With Me,[]
24,Henry Burton,['No diagnosis available'],,multiple,['S-8-EP-10'],,,Suddenly,Suddenly,[]
25,Jake Burton,['Advanced craniodiaphyseal dysplasia'],,multiple,[],,,Suddenly,Suddenly,[]
26,Rich Campion,"['Mediastinal hematoma', 'Aortic transection']",,multiple,[],,,Suddenly,Suddenly,[]
27,Vivian Carlsmith,['Stage IV Gastrocarcinoma'],,multiple,[],,,Suddenly,Suddenly,[]
28,Emma Carroll,['Stage IV Gastrocarcinoma'],,multiple,[],,,Suddenly,Suddenly,[]
29,Casey (Things We Lost in the Fire),"['Burns', 'Severe lung damage', 'Smoke inhalation', 'Partially-collapsed lung', 'Heart failure', 'Rhabdomyolysis']",,multiple,[],,,Suddenly,Suddenly,[]
30,Jason Castor,"['Hole in his pericardium', 'C3/C4 break', 'Severed Spinal Cord/Paralysis']",,multiple,[],,,Suddenly,Suddenly,[]
31,Alison Clark,['Stage 4 Cancer'],,multiple,[],,,Suddenly,Suddenly,[]
32,Alison Clark (Sympathy for the Parents),"['Anemia', 'Internal bleeding', 'Abdominal tumor', 'Acute hemorrhagic stroke', 'Temporal hemorrhage', 'Brain death']",,multiple,[],,,Suddenly,Suddenly,[]
33,Gary Clark,['Gunshot wound'],,multiple,['S-6-EP-24'],,,Death_and_All_His_Friends,Death and All His Friends,[]
34,Elsie Clatch,"['Syncope', 'Loculated acute on chronic subdural hematoma']",,multiple,[],,,Death_and_All_His_Friends,Death and All His Friends,[]
35,Annie Connors,"['Tumor', 'Difficulty breathing']",,multiple,[],,,Death_and_All_His_Friends,Death and All His Friends,[]
36,Liz Cooper,"['High output cardiac failure', 'Blood clot', 'Brain death']",,multiple,[],,,Death_and_All_His_Friends,Death and All His Friends,[]
37,Louise Cortez,"['Chronic pancreatitis', 'Pancreatic fistula', 'Ruptured splenic artery']",,multiple,[],,,Death_and_All_His_Friends,Death and All His Friends,[]
38,Darren Covington,"['Malignant glioma', 'Encephalitis']",,multiple,[],,,Death_and_All_His_Friends,Death and All His Friends,[]
39,Bonnie Crasnoff,['Massive internal injuries'],,multiple,['S-3-EP-17'],,,Some_Kind_of_Miracle,Some Kind of Miracle,[]
40,Elyse Cruse,"['Abdominal bruising', 'Second-degree burns', 'Prolapsed cord']",,multiple,[],,,Some_Kind_of_Miracle,Some Kind of Miracle,[]
41,Ray Daniels,"['Knee injury', 'Hypertrophic cardiomyopathy']",,multiple,[],,,Some_Kind_of_Miracle,Some Kind of Miracle,[]
42,Danny,"['Biliary atresia', 'Chronic liver rejection', 'Cholangitis']",,multiple,[],,,Some_Kind_of_Miracle,Some Kind of Miracle,[]
43,Daphne,"['Infection', 'Septicemia', 'Pseudomonas']",,multiple,[],,,Some_Kind_of_Miracle,Some Kind of Miracle,[]
44,Kevin Davidson,"['Cerebral edema', 'Traumatic aortic injury', 'Brain Death']",,multiple,[],,,Some_Kind_of_Miracle,Some Kind of Miracle,[]
45,Troy Davis,"['Cardiomyopathy', 'Florid pulmonary edema', 'End-stage heart failure']",,multiple,[],,,Some_Kind_of_Miracle,Some Kind of Miracle,[]
46,Rachel Dawson,"['Frontal lobe hemorrhage', 'Temporal lobe hemorrhage', 'Capgras syndrome', 'Seizure', 'Brain hemorrhage']",,multiple,['S-9-EP-21'],,,Sleeping_Monster,Sleeping Monster,[]
47,Elena Debray,['Coma'],,multiple,[],,,Sleeping_Monster,Sleeping Monster,[]
48,Kyle Diaz,"['Multiple sclerosis', 'Hand tremor', 'Brain bleed', 'Meningitis', 'Sepsis', 'Periventricular abscess']",,multiple,['S-12-EP-23'],,,At_Last,At Last,[]
49,Doc,['No diagnosis available'],,multiple,['S-3-EP-17'],,,Some_Kind_of_Miracle,Some Kind of Miracle,[]
50,William Dunn,"['Stab wounds', 'Beating injuries', 'Scalp laceration', 'Foreign body in spine', 'Brain contusions', 'Seizure']",,multiple,['S-5-EP-13'],,,Stairway_to_Heaven,Stairway to Heaven,[]
51,"Denny Duquette, Jr.",['Congestive Heart Failure'],,multiple,['S-5-EP-23'],,,Here%27s_to_Future_Days,Here's to Future Days,[]
52,James Evans,['No diagnosis available'],,multiple,['S-10-EP-13'],,,Take_It_Back,Take It Back,[]
53,Elizabeth Fallon,['Pancreatic Cancer'],,multiple,['S-3-EP-17'],,,Some_Kind_of_Miracle,Some Kind of Miracle,[]
54,Jesse Fannon,"['Obsessive-compulsive disorder', 'Blunt head trauma', 'Brain bleed']",,multiple,[],,,Some_Kind_of_Miracle,Some Kind of Miracle,[]
55,Emile Flores,"['Broken ankle', 'Epidural bleed']",,multiple,[],,,Some_Kind_of_Miracle,Some Kind of Miracle,[]
56,Eugene Foote,"['Broken ankle', 'Epidural bleed']",,multiple,[],,,Some_Kind_of_Miracle,Some Kind of Miracle,[]
57,Bizzy Forbes,['No diagnosis available'],,multiple,['S-4-EP-14'],,,Home_Again,Home Again,[]
