counter,name,diagnosis,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
0,Abraham,['Contusions'],,single,"['S-12-EP-4', 'S-12-EP-4']",Old_Time_Rock_and_Roll,Old Time Rock and Roll,Old_Time_Rock_and_Roll,Old Time Rock and Roll,"['12', '12']"
1,Brad Ackles,"['Lacerations', 'Gunshot wound']",,single,"['S-2-EP-25', 'S-2-EP-25']",17_Seconds,17 Seconds,17_Seconds,17 Seconds,"['2', '2']"
2,Karen Adams,"['Nosebleed', ""Wegener's disease""]",,single,"['S-1-EP-3', 'S-1-EP-3']",In_Which_Addison_Finds_the_Magic,In Which Addison Finds the Magic,In_Which_Addison_Finds_the_Magic,In Which Addison Finds the Magic,"['1', '1']"
3,Reed Adamson,['No diagnosis available'],,multiple,"['S-6-EP-5', 'S-6-EP-23']",Invasion,Invasion,Sanctuary,Sanctuary,"['6', '6']"
4,Winnie Adkins,"['Hemothorax', 'Internal bleeding']",,single,"['S-13-EP-9', 'S-13-EP-9']",You_Haven%27t_Done_Nothin%27,You Haven't Done Nothin',You_Haven%27t_Done_Nothin%27,You Haven't Done Nothin',"['13', '13']"
5,Kim Allen,"['Stage IV large-cell lung cancer', 'Pulmonary edema']",,single,"['S-6-EP-18', 'S-6-EP-18']",Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,"['6', '6']"
6,Grandma Anderson,['Car accident injuries'],,multiple,"['S-8-EP-9', 'S-8-EP-10']",Dark_Was_the_Night,Dark Was the Night,Suddenly,Suddenly,"['8', '8']"
7,Holly Anderson,"['Basilar skull fracture', 'Hemopericardium', 'Carotid dissection', 'Cerebrovascular accident', 'Brain Death']",,single,"['S-5-EP-10', 'S-5-EP-10']",All_By_Myself,All By Myself,All_By_Myself,All By Myself,"['5', '5']"
8,Jessica Anderson,['Crash injuries'],,single,"['S-8-EP-10', 'S-8-EP-10']",Suddenly,Suddenly,Suddenly,Suddenly,"['8', '8']"
9,Robert Anderson,"['Crushed pelvis', 'Internal bleeding']",,multiple,"['S-8-EP-9', 'S-8-EP-10']",Dark_Was_the_Night,Dark Was the Night,Suddenly,Suddenly,"['8', '8']"
10,Wallace Anderson,"['Short Gut Syndrome', 'Bowel Obstruction', 'Sepsis']",,single,"['S-6-EP-8', 'S-6-EP-8']",Invest_in_Love,Invest in Love,Invest_in_Love,Invest in Love,"['6', '6']"
