female,male,unknown
6,16,2
female,male,unknown
6,16,2
female,male,unknown
6,16,2
female,male,unknown
6,16,2
female,male,unknown
6,16,2
female,male,unknown
6,16,2
female,male,unknown
female,male,unknown
female,male,unknown
female,male,unknown
female,male,unknown
female,male,unknown
female,male,unknown
0,0,0
female,male,unknown
0,0,0
female,male,unknown
0,0,0
female,male,unknown
51,162,8
female,male,unknown
51,162,8
female,male,unknown
51,162,8
female_total,male_total,unknown,female_major_minor,male_major_minor
35,106,2
35,106,2
female_total,male_total,unknown,female_major_minor,male_major_minor
35,106,2
35,106,2
female_total,male_total,unknown,female_major_minor,male_major_minor
35,106,2
35,106,2
female_total,male_total,unknown,female_major_minor,male_major_minor
35,106,2
35,106,2
female_total,male_total,unknown,female_major_minor,male_major_minor
35,106,2
35,106,2
female_total,male_total,unknown,female_major_minor,male_major_minor
35,106,2
35,106,2
female_total,male_total,unknown,female_major_minor,male_major_minor
35,106,2
35,106,2
female_total,male_total,unknown,female_major_minor,male_major_minor
35,106,2
35,106,2
female_total,male_total,unknown,female_major_minor,male_major_minor
35,106,2
35,106,2
female_total,male_total,unknown,female_major_minor,male_major_minor
35,106,2
35,106,2
female_total,male_total,unknown,female_major_minor,male_major_minor
35,104,3
35,104,3
female_total,male_total,unknown,female_major_minor,male_major_minor
35,104,3
35,104,3
female_total,male_total,unknown,female_major_minor,male_major_minor
35,104,3
35,104,3
female_total,male_total,unknown,female_major_minor,male_major_minor
35,104,3
35,104,3
female_total,male_total,unknown,female_major_minor,male_major_minor
35,104,3
35,104,3
female_total,male_total,unknown,female_major_minor,male_major_minor
35,104,3
35,104,3
female_total,male_total,unknown,female_major_minor,male_major_minor
35,104,3
35,104,3
female_total,male_total,unknown,female_major_minor,male_major_minor
35,104,3
35,104,3
female_total,male_total,unknown,female_major_minor,male_major_minor
35,104,3
35,104,3
female_total,male_total,unknown,female_major_minor,male_major_minor
35,104,3
35,104,3
female_total,male_total,unknown,female_major_minor,male_major_minor
35,104,3
35,104,3
female_total,male_total,unknown,female_major_minor,male_major_minor
female_total,male_total,unknown,female_major_minor,male_major_minor
35,104,3
35,104,3
female_total,male_total,unknown,female_major_minor,male_major_minor
0,0,0
0,0,0
female_total,male_total,unknown,female_major_minor,male_major_minor
0,0,0
0,0,0
female_total,male_total,unknown,female_major_minor,male_major_minor
0,0,0
0,0,0
female_total,male_total,unknown,female_major_minor,male_major_minor
0,0,0
0,0,0
female_total,male_total,unknown,female_major_minor,male_major_minor
female_total,male_total,unknown,female_major_minor,male_major_minor
female_total,male_total,unknown,female_major_minor,male_major_minor
female_total,male_total,unknown,female_major_minor,male_major_minor
female_total,male_total,unknown,female_major_minor,male_major_minor
female_total,male_total,unknown,female_major_minor,male_major_minor
female_total,male_total,unknown,female_major_minor,male_major_minor
female_total,male_total,unknown,female_major_minor,male_major_minor
female_total,male_total,unknown,female_major_minor,male_major_minor
female_total,male_total,unknown,female_major_minor,male_major_minor
female_total,male_total,unknown,female_major_minor,male_major_minor
0,0,0
0,0,0
female_total,male_total,unknown,female_major_minor,male_major_minor
0,0,0
0,0,0
female_total,male_total,unknown,female_major_minor,male_major_minor
0,0,0
0,0,0
female_total,male_total,unknown,female_major_minor,male_major_minor
54,166,6
54,166,6
