season,episode_number,episode_title,season_episode_code
1,1,A Hard Day's Night,S-1-EP-1
1,2,The First Cut Is the Deepest,S-1-EP-2
1,3,"Winning a Battle, Losing the War",S-1-EP-3
1,4,No Man's Land,S-1-EP-4
1,5,Shake Your Groove Thing,S-1-EP-5
1,6,If Tomorrow Never Comes,S-1-EP-6
1,7,The Self-Destruct Button,S-1-EP-7
1,8,Save Me,S-1-EP-8
1,9,Who's Zoomin' Who?,S-1-EP-9
2,1,Raindrops Keep Falling On My Head,S-2-EP-1
2,2,Enough is Enough,S-2-EP-2
2,3,Make Me Lose Control,S-2-EP-3
2,4,"Deny, Deny, Deny",S-2-EP-4
2,5,Bring the Pain,S-2-EP-5
2,6,Into You Like a Train,S-2-EP-6
2,7,Something to Talk About,S-2-EP-7
2,8,Let It Be,S-2-EP-8
2,9,Thanks for the Memories,S-2-EP-9
2,10,Much too Much,S-2-EP-10
2,11,Owner of a Lonely Heart,S-2-EP-11
2,12,Grandma Got Run Over By a Reindeer,S-2-EP-12
2,13,Begin the Begin,S-2-EP-13
2,14,Tell Me Sweet Little Lies,S-2-EP-14
2,15,Break on Through,S-2-EP-15
2,16,It's the End of the World,S-2-EP-16
2,17,As We Know It,S-2-EP-17
2,18,Yesterday,S-2-EP-18
2,19,What Have I Done to Deserve This?,S-2-EP-19
2,20,Band-Aid Covers the Bullet Hole,S-2-EP-20
2,21,Superstition,S-2-EP-21
2,22,The Name of the Game,S-2-EP-22
2,23,Blues for Sister Someone,S-2-EP-23
2,24,Damage Case,S-2-EP-24
2,25,17 Seconds,S-2-EP-25
2,26,Deterioration of the Fight or Flight Response,S-2-EP-26
2,27,Losing My Religion,S-2-EP-27
3,1,Time Has Come Today,S-3-EP-1
3,2,I Am a Tree,S-3-EP-2
3,3,Sometimes a Fantasy,S-3-EP-3
3,4,What I Am,S-3-EP-4
3,5,"Oh, the Guilt",S-3-EP-5
3,6,Let the Angels Commit,S-3-EP-6
3,7,Where the Boys Are,S-3-EP-7
3,8,Staring at the Sun,S-3-EP-8
3,9,From a Whisper to a Scream,S-3-EP-9
3,10,Don't Stand So Close to Me,S-3-EP-10
3,11,"Six Days, Part 1",S-3-EP-11
3,12,"Six Days, Part 2",S-3-EP-12
3,13,Great Expectations,S-3-EP-13
3,14,Wishin' and Hopin',S-3-EP-14
3,15,Walk on Water,S-3-EP-15
3,16,Drowning on Dry Land,S-3-EP-16
3,17,Some Kind of Miracle,S-3-EP-17
3,18,Scars and Souvenirs,S-3-EP-18
3,19,My Favorite Mistake,S-3-EP-19
3,20,Time After Time,S-3-EP-20
3,21,Desire,S-3-EP-21
3,22,"The Other Side of This Life, Part 1",S-3-EP-22
3,23,"The Other Side of This Life, Part 2",S-3-EP-23
3,24,Testing 1-2-3,S-3-EP-24
3,25,Didn't We Almost Have It All?,S-3-EP-25
4,1,A Change is Gonna Come,S-4-EP-1
4,2,Love/Addiction,S-4-EP-2
4,3,Let the Truth Sting,S-4-EP-3
4,4,The Heart of the Matter,S-4-EP-4
4,5,Haunt You Every Day,S-4-EP-5
4,6,Kung Fu Fighting,S-4-EP-6
